"","connectedness_level","tot_tags","tot_comments","tot_reactions","totcommon_sharedInterests","sharedBeliefs-religion","sharedBeliefs-causes_you_care_about","sharedBeliefs-cultural_background","sharedBeliefs-politics","sharedActivities-activism","sharedActivities-business","sharedActivities-event_attendance","sharedActivities-going_out","sharedActivities-sports_outdoor","sharedActivities-work_study","sameInstitution-coworker","sameInstitution-same_other_institution","sameInstitution-same_school","sameInstitution-same_university","commonPlace-live_same_city","commonPlace-live_together","commonPlace-same_hometown","is_male","friend_same_gender"
"72",4,0,15,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"73",7,1,3,20,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"74",7,4,12,84,6,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"75",4,0,5,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"76",7,1,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"77",3,0,3,25,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,TRUE
"78",7,2,22,48,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"79",7,0,0,13,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"80",7,0,2,16,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,FALSE,FALSE
"81",2,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"82",3,0,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"83",2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"84",2,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,FALSE
"85",7,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE
"86",1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"87",1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"88",1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"89",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"90",2,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"91",7,9,53,190,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,FALSE,TRUE
"92",2,1,3,10,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE
"93",2,0,7,13,3,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,FALSE,TRUE
"94",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"95",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"96",1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,FALSE,FALSE
"97",1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"98",1,0,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,FALSE,TRUE
"99",2,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE
"100",1,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
"101",2,1,2,45,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,FALSE,TRUE
"102",3,0,1,36,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"103",3,0,3,28,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"104",7,108,65,66,8,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,FALSE,FALSE
"105",1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"106",1,0,3,67,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"107",1,0,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,FALSE,TRUE
"108",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
"109",1,0,0,33,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE
"110",1,0,19,79,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE
